Day,Bat,Moth,Light,Sound,Interaction,contact,catch,eat,miss,knock-off,tether,avoid,investigate,drop,total,AUDIO,VIDEO,Time,Notes
9/23/2017,Dot,cycnia,1,0,1,0,0,0,0,1,1,1,0,0,1,324,14 38 36,15.43,stops flying at 15
9/23/2017,Dot,cycnia,1,0,1,0,0,0,0,1,1,1,0,0,1,325,14 40 34,23.89,stops flying at 23.03
9/23/2017,Dot,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,326,14 41 59,2.6,
9/23/2017,Dot,cycnia,1,0,1,1,1,0,0,0,1,0,0,0,1,330,14 46 28,7.03,stops flying at 5.92
9/23/2017,Dot,cycnia,1,0,2,1,1,0,0,0,0,0,0,1,1,333,14 49 42,26.83,Stops flying at 26.6
9/23/2017,Squirt,cycnia,1,1,1,0,0,0,0,0,1,1,0,0,1,337,15 24 57,59.02,
9/23/2017,Squirt,cycnia,1,1,1,0,0,0,0,0,0,1,1,0,1,338,15 30 15,2.8,
9/23/2017,Squirt,cycnia,1,1,1,0,0,0,0,1,1,1,0,0,1,343,15 37 35,4.39,stops flying at 3.26
9/24/2017,Squirt,cycnia,1,1,2,0,0,0,0,0,0,1,1,0,1,362,15 54 05,41.77,"cool shot from cam 1, not flying"
9/24/2017,Squirt,cycnia,1,1,1,1,1,0,0,0,0,0,0,1,1,368,16 03 16,12.86,
9/24/2017,Squirt,cycnia,1,1,1,0,0,0,0,0,0,1,1,0,1,370,16 25 35,27.5,
9/25/2017,Squirt,cycnia,0,0,1,1,1,0,0,0,0,0,0,1,1,375,14 58 22,34.31,check if this counts - my hand my be too close
9/25/2017,Squirt,cycnia,0,0,1,0,0,0,0,1,1,1,0,0,1,379,15 03 52,4.01,"again, check if my hand is too close"
9/25/2017,Squirt,cycnia,0,0,1,1,1,0,0,0,0,0,0,1,1,381,15 05 23,7.26,stops flying at 6.52
9/25/2017,Squirt,cycnia,0,0,1,0,0,0,0,1,1,1,0,0,1,382,15 12 58,3.89,moth isn't flying as soon as it's released
9/25/2017,Squirt,cycnia,0,0,1,1,1,0,0,0,0,0,0,1,1,387,15 23 59,19.94,stops flying at 19.75
